iter	Passed	Remaining
0	2	213
1	4	208
2	6	214
3	8	201
4	10	197
5	12	191
6	14	188
7	16	188
8	18	184
9	21	195
10	23	191
11	25	187
12	27	183
13	29	181
14	31	179
15	33	175
16	35	174
17	37	171
18	39	166
19	40	162
20	41	157
21	43	152
22	44	149
23	45	145
24	47	141
25	48	137
26	50	136
27	51	133
28	53	130
29	54	127
30	55	123
31	56	121
32	58	118
33	59	116
34	61	113
35	62	110
36	63	108
37	65	107
38	67	105
39	68	102
40	69	100
41	70	97
42	71	94
43	73	92
44	74	91
45	75	88
46	76	86
47	78	84
48	80	83
49	81	81
50	82	79
51	84	77
52	85	75
53	86	73
54	87	71
55	88	69
56	90	67
57	91	66
58	92	64
59	95	63
60	96	61
61	97	59
62	99	58
63	100	56
64	101	54
65	103	53
66	104	51
67	105	49
68	106	47
69	108	46
70	109	44
71	111	43
72	112	41
73	113	39
74	114	38
75	115	36
76	117	34
77	118	33
78	119	31
79	120	30
80	122	28
81	124	27
82	125	25
83	126	24
84	127	22
85	129	21
86	130	19
87	131	17
88	132	16
89	134	14
90	135	13
91	136	11
92	137	10
93	139	8
94	140	7
95	141	5
96	142	4
97	144	2
98	145	1
99	146	0
