iter	Passed	Remaining
0	224	224489
1	226	112952
2	227	75739
3	229	57112
4	230	45966
5	232	38504
6	234	33223
7	235	29224
8	237	26113
9	239	23733
10	240	21653
11	241	19920
12	243	18449
13	244	17194
14	245	16103
15	246	15160
16	247	14313
17	248	13563
18	249	12887
19	250	12288
20	252	11753
21	253	11283
22	254	10829
23	256	10413
24	257	10032
25	258	9683
26	259	9361
27	260	9056
28	262	8772
29	263	8507
30	264	8255
31	265	8016
32	265	7793
33	267	7602
34	268	7402
35	269	7215
36	270	7037
37	271	6868
38	272	6707
39	273	6558
40	274	6414
41	275	6276
42	276	6145
43	277	6020
44	278	5900
45	278	5785
46	279	5675
47	281	5590
48	282	5489
49	283	5392
50	284	5297
51	285	5207
52	286	5122
53	287	5038
54	288	4958
55	289	4880
56	290	4804
57	291	4731
58	292	4661
59	293	4593
60	294	4526
61	295	4477
62	296	4415
63	297	4355
64	298	4296
65	299	4242
66	300	4188
67	301	4135
68	302	4083
69	303	4032
70	304	3983
71	305	3935
72	306	3889
73	307	3843
74	308	3800
75	310	3772
76	311	3731
77	312	3690
78	313	3649
79	314	3613
80	315	3575
81	316	3538
82	316	3497
83	317	3462
84	318	3428
85	319	3394
86	320	3362
87	321	3330
88	322	3298
89	323	3267
90	325	3250
91	326	3224
92	327	3197
93	329	3171
94	330	3146
95	331	3123
96	332	3099
97	335	3085
98	336	3064
99	337	3040
100	339	3026
101	341	3003
102	342	2980
103	343	2958
104	344	2936
105	345	2915
106	346	2894
107	347	2873
108	349	2853
109	350	2833
110	351	2817
111	352	2797
112	354	2784
113	355	2765
114	360	2776
115	362	2764
116	363	2743
117	364	2724
118	365	2705
119	366	2686
120	367	2667
121	367	2647
122	371	2646
123	372	2630
124	373	2614
125	374	2599
126	375	2581
127	376	2564
128	377	2548
129	378	2531
130	379	2515
131	380	2499
132	381	2483
133	381	2468
134	382	2453
135	386	2452
136	387	2440
137	388	2428
138	390	2419
139	391	2407
140	393	2397
141	394	2384
